colony_year,pup_sex,pup_yrborn,pup_col_area,pup_emerjdate,aug15_emergence,pup_littersizeborn,indegree,outdegree,betweenness,outcloseness,incloseness,local_clustering,neg_ave_shortest_path,ave_shortest_path,eigenv,outstrength,instrength,valley,pup_summer_surv,pup_year_surv,yearly.pred.index,overall.index,pup_massjun,pup_massaug,mass_gain,mass_gain.day,mother_age,cluster,groupID,year,group_size,network_size,mother_uid,pup_uid,mother_year
mm_2006,F,2006,mm,NA,NA,6,0.153846154,0.230769231,0,0.393939394,0.132653061,0.3,-2.198275862,2.198275862,0.601715498,12,7,uv,1,1,low,low,324.9050536,1057.903993,732.9989394,NA,12,26,14_mm_26,2006,4,11,51,897,51 _ 2006
mm_2006,M,2006,mm,NA,NA,6,0.153846154,0.230769231,0,0.393939394,0.132653061,0.3,-2.198275862,2.198275862,0.601715498,12,7,uv,0,0,low,low,590.9194451,1597.939526,1007.020081,NA,12,26,14_mm_26,2006,4,11,51,861,51 _ 2006
mm_2006,M,2006,mm,NA,NA,6,0.153846154,0.230769231,0,0.393939394,0.132653061,0.3,-2.198275862,2.198275862,0.601715498,12,7,uv,0,0,low,low,388.0701539,1220.992061,832.9219071,NA,12,26,14_mm_26,2006,4,11,51,238,51 _ 2006
mm_2006,M,2006,mm,NA,NA,6,0.153846154,0.230769231,0,0.393939394,0.132653061,0.3,-2.198275862,2.198275862,0.601715498,12,7,uv,1,1,low,low,352.2009927,1179.506908,827.3059153,NA,12,26,14_mm_26,2006,4,11,51,215,51 _ 2006
picnic_2002,F,2002,picnic,182,45,5,0.230769231,0.076923077,0.022012138,0.191176471,0.216666667,0.5,-1.892857143,1.892857143,0.175565087,1,5,uv,1,1,low,high,260.2314645,995.684298,735.4528335,16.3433963,6,37,14_pc_37,2002,3,20,42,624,42 _ 2002
picnic_2002,M,2002,picnic,179,48,5,0.230769231,0.076923077,0.022012138,0.191176471,0.216666667,0.5,-1.892857143,1.892857143,0.175565087,1,5,uv,1,1,low,high,224.0275738,1171.860101,947.8325272,19.74651098,6,37,14_pc_37,2002,3,20,42,719,42 _ 2002
picnic_2002,F,2002,picnic,179,48,5,0.230769231,0.076923077,0.022012138,0.191176471,0.216666667,0.5,-1.892857143,1.892857143,0.175565087,1,5,uv,1,1,low,high,239.7935326,1112.250027,872.4564944,18.17617697,6,37,14_pc_37,2002,3,20,42,146,42 _ 2002
picnic_2002,F,2002,picnic,179,48,5,0.230769231,0.076923077,0.022012138,0.191176471,0.216666667,0.5,-1.892857143,1.892857143,0.175565087,1,5,uv,1,1,low,high,279.7835606,1271.932317,992.1487564,20.66976576,6,37,14_pc_37,2002,3,20,42,965,42 _ 2002
picnic_2002,F,2002,picnic,179,48,5,0.230769231,0.076923077,0.022012138,0.191176471,0.216666667,0.5,-1.892857143,1.892857143,0.175565087,1,5,uv,1,1,low,high,249.3698332,1138.744899,889.3750658,18.5286472,6,37,14_pc_37,2002,3,20,42,118,42 _ 2002
picnic_2003,M,2003,picnic,204,23,4,0.03125,0.03125,0,0.087912088,0.071588367,1,-1.967741935,1.967741935,0.093872749,1,1,uv,1,1,high,high,597.5695914,1091.733176,494.1635846,21.48537324,7,32,14_pc_32,2003,7,30,42,473,42 _ 2003
picnic_2003,M,2003,picnic,204,23,4,0.03125,0.03125,0,0.087912088,0.071588367,1,-1.967741935,1.967741935,0.093872749,1,1,uv,1,1,high,high,619.2105337,1128.492262,509.2817283,22.14268384,7,32,14_pc_32,2003,7,30,42,389,42 _ 2003
picnic_2003,M,2003,picnic,204,23,4,0.03125,0.03125,0,0.087912088,0.071588367,1,-1.967741935,1.967741935,0.093872749,1,1,uv,1,1,high,high,585.6176528,1080.057992,494.4403392,21.49740605,7,32,14_pc_32,2003,7,30,42,989,42 _ 2003
picnic_2003,F,2003,picnic,204,23,4,0.03125,0.03125,0,0.087912088,0.071588367,1,-1.967741935,1.967741935,0.093872749,1,1,uv,1,1,high,high,563.9927984,1002.497351,438.5045526,19.06541533,7,32,14_pc_32,2003,7,30,42,661,42 _ 2003
picnic_2004,F,2004,picnic,198,29,5,0.08,0.04,0.03647619,0.078125,0.11682243,0,-3.261764706,3.261764706,0.162158251,2,4,uv,1,0,high,high,371.1674778,937.6070519,566.4395741,19.53239911,8,40,14_pc_40,2004,1,33,42,596,42 _ 2004
picnic_2004,F,2004,picnic,NA,NA,5,0.08,0.04,0.03647619,0.078125,0.11682243,0,-3.261764706,3.261764706,0.162158251,2,4,uv,1,0,high,high,304.5673341,1085.213621,780.6462869,NA,8,40,14_pc_40,2004,1,33,42,854,42 _ 2004
picnic_2004,F,2004,picnic,198,29,5,0.08,0.04,0.03647619,0.078125,0.11682243,0,-3.261764706,3.261764706,0.162158251,2,4,uv,1,1,high,high,405.4073116,992.5561523,587.1488407,20.24651175,8,40,14_pc_40,2004,1,33,42,780,42 _ 2004
picnic_2004,F,2004,picnic,198,29,5,0.08,0.04,0.03647619,0.078125,0.11682243,0,-3.261764706,3.261764706,0.162158251,2,4,uv,1,0,high,high,413.3677589,1021.113769,607.7460101,20.95675897,8,40,14_pc_40,2004,1,33,42,288,42 _ 2004
picnic_2004,F,2004,picnic,198,29,5,0.08,0.04,0.03647619,0.078125,0.11682243,0,-3.261764706,3.261764706,0.162158251,2,4,uv,1,0,high,high,412.4348213,994.9955718,582.5607505,20.08830174,8,40,14_pc_40,2004,1,33,42,180,42 _ 2004
town_2003,F,2003,town,180,47,8,0.333333333,0.333333333,0,0.6,0.5,1,-1.5,1.5,0.49693788,2,1,dv,1,1,low,low,364.4097425,1434.883115,1070.473373,22.7760292,5,51,14_tw_51,2003,1,6,26,487,26 _ 2003
town_2003,F,2003,town,180,47,8,0.333333333,0.333333333,0,0.6,0.5,1,-1.5,1.5,0.49693788,2,1,dv,1,1,low,low,341.936549,1462.190252,1120.253703,23.83518517,5,51,14_tw_51,2003,1,6,26,623,26 _ 2003
town_2003,F,2003,town,180,47,8,0.333333333,0.333333333,0,0.6,0.5,1,-1.5,1.5,0.49693788,2,1,dv,1,0,low,low,344.6575188,1489.099954,1144.442435,24.34983905,5,51,14_tw_51,2003,1,6,26,986,26 _ 2003
town_2003,M,2003,town,180,47,8,0.333333333,0.333333333,0,0.6,0.5,1,-1.5,1.5,0.49693788,2,1,dv,1,1,low,low,420.6072821,1823.864047,1403.256765,29.85652691,5,51,14_tw_51,2003,1,6,26,276,26 _ 2003
town_2003,M,2003,town,180,47,8,0.333333333,0.333333333,0,0.6,0.5,1,-1.5,1.5,0.49693788,2,1,dv,1,1,low,low,372.5177662,1576.013527,1203.495761,25.60629278,5,51,14_tw_51,2003,1,6,26,540,26 _ 2003
town_2003,M,2003,town,180,47,8,0.333333333,0.333333333,0,0.6,0.5,1,-1.5,1.5,0.49693788,2,1,dv,1,1,low,low,405.6250185,1773.182815,1367.557797,29.09697439,5,51,14_tw_51,2003,1,6,26,422,26 _ 2003
town_2003,M,2003,town,180,47,8,0.333333333,0.333333333,0,0.6,0.5,1,-1.5,1.5,0.49693788,2,1,dv,1,1,low,low,347.6209036,1583.962111,1236.341207,26.30513207,5,51,14_tw_51,2003,1,6,26,472,26 _ 2003
town_2003,M,2003,town,180,47,8,0.333333333,0.333333333,0,0.6,0.5,1,-1.5,1.5,0.49693788,2,1,dv,1,1,low,low,303.4980379,1480.262871,1176.764833,25.03754964,5,51,14_tw_51,2003,1,6,26,250,26 _ 2003
town_2004,M,2004,town,179,48,8,0.2,0.2,0.014814815,0.263157895,0.5,0,-1.644444444,1.644444444,0.26569942,3,3,dv,1,1,low,low,458.9068304,2198.862681,1739.955851,36.24908022,6,81,14_tw_81,2004,1,14,26,788,26 _ 2004
town_2004,M,2004,town,179,48,8,0.2,0.2,0.014814815,0.263157895,0.5,0,-1.644444444,1.644444444,0.26569942,3,3,dv,1,1,low,low,430.5160334,1843.923594,1413.407561,29.44599085,6,81,14_tw_81,2004,1,14,26,1050,26 _ 2004
town_2004,M,2004,town,179,48,8,0.2,0.2,0.014814815,0.263157895,0.5,0,-1.644444444,1.644444444,0.26569942,3,3,dv,0,0,low,low,337.6945131,1699.322768,1361.628255,28.36725531,6,81,14_tw_81,2004,1,14,26,916,26 _ 2004
town_2004,M,2004,town,179,48,8,0.2,0.2,0.014814815,0.263157895,0.5,0,-1.644444444,1.644444444,0.26569942,3,3,dv,1,0,low,low,389.4431134,2033.18718,1643.744067,34.24466805,6,81,14_tw_81,2004,1,14,26,120,26 _ 2004
town_2004,M,2004,town,179,48,8,0.2,0.2,0.014814815,0.263157895,0.5,0,-1.644444444,1.644444444,0.26569942,3,3,dv,1,0,low,low,463.5733241,1975.253071,1511.679747,31.49332806,6,81,14_tw_81,2004,1,14,26,639,26 _ 2004
town_2004,F,2004,town,179,48,8,0.2,0.2,0.014814815,0.263157895,0.5,0,-1.644444444,1.644444444,0.26569942,3,3,dv,1,1,low,low,374.2150943,1722.397162,1348.182068,28.08712641,6,81,14_tw_81,2004,1,14,26,979,26 _ 2004
town_2004,M,2004,town,179,48,8,0.2,0.2,0.014814815,0.263157895,0.5,0,-1.644444444,1.644444444,0.26569942,3,3,dv,1,1,low,low,379.260138,1814.400344,1435.140206,29.89875429,6,81,14_tw_81,2004,1,14,26,320,26 _ 2004
